apprehension_date,Apprehension Method
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP State Incarceration
7/31/17,287(g) Program
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,287(g) Program
7/31/17,Non-Custodial Arrest
7/31/17,CAP Federal Incarceration
7/31/17,287(g) Program
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Other Agency (turned over to INS)
7/31/17,Probation and Parole
7/31/17,Located
7/31/17,Located
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP State Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,287(g) Program
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,287(g) Program
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,Located
7/31/17,CAP State Incarceration
7/31/17,CAP State Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,Non-Custodial Arrest
7/31/17,Non-Custodial Arrest
7/31/17,CAP State Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP State Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP State Incarceration
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,Non-Custodial Arrest
7/31/17,Located
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,Located
7/31/17,CAP State Incarceration
7/31/17,Located
7/31/17,CAP Federal Incarceration
7/31/17,Located
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,Other efforts
7/31/17,CAP State Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Other efforts
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,ERO Reprocessed Arrest
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,Other efforts
7/31/17,CAP Local Incarceration
7/31/17,287(g) Program
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,287(g) Program
7/31/17,CAP Local Incarceration
7/31/17,287(g) Program
7/31/17,Located
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,287(g) Program
7/31/17,ERO Reprocessed Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Located
7/31/17,CAP State Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,Located
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,Other Agency (turned over to INS)
7/31/17,287(g) Program
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,287(g) Program
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Located
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,ERO Reprocessed Arrest
7/31/17,CAP Local Incarceration
7/31/17,Located
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,Located
7/31/17,Non-Custodial Arrest
7/31/17,Other efforts
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP State Incarceration
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Probation and Parole
7/31/17,Non-Custodial Arrest
7/31/17,Other Task Force
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP State Incarceration
7/31/17,287(g) Program
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP State Incarceration
7/31/17,CAP State Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP State Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP State Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,ERO Reprocessed Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP State Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,CAP State Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP State Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Located
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP State Incarceration
7/31/17,Located
7/31/17,CAP State Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP State Incarceration
7/31/17,Probation and Parole
7/31/17,287(g) Program
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,Located
7/31/17,287(g) Program
7/31/17,CAP Federal Incarceration
7/31/17,CAP State Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,287(g) Program
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP State Incarceration
7/31/17,CAP Local Incarceration
7/31/17,287(g) Program
7/31/17,CAP State Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP State Incarceration
7/31/17,CAP Local Incarceration
7/31/17,ERO Reprocessed Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,Located
7/31/17,CAP State Incarceration
7/31/17,Located
7/31/17,CAP State Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP State Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,287(g) Program
7/31/17,CAP Federal Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,Other efforts
7/31/17,Located
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP State Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,Located
7/31/17,Other Agency (turned over to INS)
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP State Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,287(g) Program
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,287(g) Program
7/31/17,CAP Federal Incarceration
7/31/17,287(g) Program
7/31/17,CAP Local Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,Non-Custodial Arrest
7/31/17,Non-Custodial Arrest
7/31/17,CAP Federal Incarceration
7/31/17,Non-Custodial Arrest
7/31/17,287(g) Program
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,287(g) Program
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP State Incarceration
7/31/17,CAP State Incarceration
7/31/17,Located
7/31/17,CAP State Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Federal Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/31/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,287(g) Program
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,Located
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,Non-Custodial Arrest
7/30/17,CAP Local Incarceration
7/30/17,Located
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,Located
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,287(g) Program
7/30/17,Non-Custodial Arrest
7/30/17,Non-Custodial Arrest
7/30/17,Located
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,Located
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,287(g) Program
7/30/17,CAP Local Incarceration
7/30/17,Non-Custodial Arrest
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,Non-Custodial Arrest
7/30/17,CAP Local Incarceration
7/30/17,Non-Custodial Arrest
7/30/17,CAP Local Incarceration
7/30/17,Located
7/30/17,Non-Custodial Arrest
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,Non-Custodial Arrest
7/30/17,CAP State Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,Non-Custodial Arrest
7/30/17,287(g) Program
7/30/17,CAP Local Incarceration
7/30/17,Located
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,287(g) Program
7/30/17,CAP Federal Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,Located
7/30/17,Located
7/30/17,CAP Federal Incarceration
7/30/17,Located
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,Non-Custodial Arrest
7/30/17,Non-Custodial Arrest
7/30/17,287(g) Program
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,Non-Custodial Arrest
7/30/17,Located
7/30/17,CAP Local Incarceration
7/30/17,287(g) Program
7/30/17,Located
7/30/17,CAP Federal Incarceration
7/30/17,CAP Federal Incarceration
7/30/17,Non-Custodial Arrest
7/30/17,CAP Local Incarceration
7/30/17,ERO Reprocessed Arrest
7/30/17,ERO Reprocessed Arrest
7/30/17,CAP Local Incarceration
7/30/17,CAP Local Incarceration
7/30/17,Non-Custodial Arrest
7/30/17,Non-Custodial Arrest
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Federal Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,Located
7/29/17,287(g) Program
7/29/17,CAP Local Incarceration
7/29/17,Located
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,ERO Reprocessed Arrest
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,Non-Custodial Arrest
7/29/17,287(g) Program
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,ERO Reprocessed Arrest
7/29/17,287(g) Program
7/29/17,Located
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,Located
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,Non-Custodial Arrest
7/29/17,Non-Custodial Arrest
7/29/17,CAP Local Incarceration
7/29/17,Located
7/29/17,CAP Local Incarceration
7/29/17,Located
7/29/17,Non-Custodial Arrest
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Federal Incarceration
7/29/17,287(g) Program
7/29/17,287(g) Program
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,287(g) Program
7/29/17,287(g) Program
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,Located
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,Located
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,287(g) Program
7/29/17,ERO Reprocessed Arrest
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Federal Incarceration
7/29/17,CAP Local Incarceration
7/29/17,287(g) Program
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,Located
7/29/17,Law Enforcement Agency Response Unit
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,ERO Reprocessed Arrest
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,287(g) Program
7/29/17,ERO Reprocessed Arrest
7/29/17,Non-Custodial Arrest
7/29/17,287(g) Program
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,Located
7/29/17,287(g) Program
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,Non-Custodial Arrest
7/29/17,287(g) Program
7/29/17,CAP Local Incarceration
7/29/17,287(g) Program
7/29/17,Other efforts
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,Located
7/29/17,CAP Local Incarceration
7/29/17,287(g) Program
7/29/17,CAP Local Incarceration
7/29/17,Law Enforcement Agency Response Unit
7/29/17,ERO Reprocessed Arrest
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,Non-Custodial Arrest
7/29/17,CAP Local Incarceration
7/29/17,287(g) Program
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,Non-Custodial Arrest
7/29/17,287(g) Program
7/29/17,CAP Local Incarceration
7/29/17,Located
7/29/17,ERO Reprocessed Arrest
7/29/17,CAP Local Incarceration
7/29/17,Located
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,CAP Local Incarceration
7/29/17,ERO Reprocessed Arrest
7/28/17,CAP Local Incarceration
7/28/17,CAP Local Incarceration
7/28/17,CAP Local Incarceration
7/28/17,CAP Local Incarceration
7/28/17,Non-Custodial Arrest
7/28/17,CAP State Incarceration
7/28/17,287(g) Program
7/28/17,287(g) Program
7/28/17,Located
7/28/17,CAP Local Incarceration
7/28/17,CAP Local Incarceration
7/28/17,CAP Local Incarceration
7/28/17,Probation and Parole
7/28/17,CAP Local Incarceration
7/28/17,287(g) Program
7/28/17,CAP Federal Incarceration
7/28/17,CAP State Incarceration
7/28/17,CAP Local Incarceration
7/28/17,CAP State Incarceration
7/28/17,CAP Local Incarceration
7/28/17,CAP Local Incarceration
7/28/17,CAP Local Incarceration
7/28/17,CAP Federal Incarceration
7/28/17,CAP Local Incarceration
7/28/17,CAP Local Incarceration
7/28/17,CAP Local Incarceration
7/28/17,CAP Local Incarceration
7/28/17,CAP Federal Incarceration
7/28/17,CAP State Incarceration
7/28/17,CAP Local Incarceration
