apprehension_date,apprehension_state,apprehension_aor,location
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,MISSOURI,Chicago Area of Responsibility,Chicago
2025-03-26,OKLAHOMA,Dallas Area of Responsibility,Dallas
2025-03-26,MISSISSIPPI,New Orleans Area of Responsibility,New Orleans
2025-03-26,,Houston Area of Responsibility,Houston
2025-03-26,OHIO,Detroit Area of Responsibility,Detroit
2025-03-26,,Dallas Area of Responsibility,Dallas
2025-03-26,SOUTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2025-03-26,ARIZONA,Phoenix Area of Responsibility,Phoenix
2025-03-26,INDIANA,Chicago Area of Responsibility,Chicago
2025-03-26,GEORGIA,Atlanta Area of Responsibility,Atlanta
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,VIRGINIA,Washington Area of Responsibility,Washington
2025-03-26,WISCONSIN,Chicago Area of Responsibility,Chicago
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,NEVADA,Salt Lake City Area of Responsibility,Salt Lake City
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,KANSAS,Chicago Area of Responsibility,Chicago
2025-03-26,MISSISSIPPI,New Orleans Area of Responsibility,New Orleans
2025-03-26,MISSOURI,Chicago Area of Responsibility,Chicago
2025-03-26,,Miami Area of Responsibility,Miami
2025-03-26,MICHIGAN,Detroit Area of Responsibility,Detroit
2025-03-26,HAWAII,San Francisco Area of Responsibility,San Francisco
2025-03-26,MINNESOTA,St. Paul Area of Responsibility,St. Paul
2025-03-26,PENNSYLVANIA,Philadelphia Area of Responsibility,Philadelphia
2025-03-26,NEW YORK,New York City Area of Responsibility,New York City
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,GEORGIA,Atlanta Area of Responsibility,Atlanta
2025-03-26,,Miami Area of Responsibility,Miami
2025-03-26,KANSAS,Chicago Area of Responsibility,Chicago
2025-03-26,,Newark Area of Responsibility,Newark
2025-03-26,VIRGINIA,Washington Area of Responsibility,Washington
2025-03-26,TEXAS,Harlingen Area of Responsibility,Harlingen
2025-03-26,COLORADO,Denver Area of Responsibility,Denver
2025-03-26,MISSISSIPPI,New Orleans Area of Responsibility,New Orleans
2025-03-26,TENNESSEE,New Orleans Area of Responsibility,New Orleans
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,KENTUCKY,Chicago Area of Responsibility,Chicago
2025-03-26,GEORGIA,Atlanta Area of Responsibility,Atlanta
2025-03-26,TEXAS,Harlingen Area of Responsibility,Harlingen
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,,Phoenix Area of Responsibility,Phoenix
2025-03-26,,Atlanta Area of Responsibility,Atlanta
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,,Houston Area of Responsibility,Houston
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,TEXAS,Dallas Area of Responsibility,Dallas
2025-03-26,,Dallas Area of Responsibility,Dallas
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,NEVADA,Salt Lake City Area of Responsibility,Salt Lake City
2025-03-26,GEORGIA,Atlanta Area of Responsibility,Atlanta
2025-03-26,OHIO,Detroit Area of Responsibility,Detroit
2025-03-26,CALIFORNIA,San Francisco Area of Responsibility,San Francisco
2025-03-26,PENNSYLVANIA,Philadelphia Area of Responsibility,Philadelphia
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,,,#VALUE!
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,ALABAMA,New Orleans Area of Responsibility,New Orleans
2025-03-26,,Los Angeles Area of Responsibility,Los Angeles
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,,Chicago Area of Responsibility,Chicago
2025-03-26,MISSOURI,Chicago Area of Responsibility,Chicago
2025-03-26,MISSISSIPPI,New Orleans Area of Responsibility,New Orleans
2025-03-26,ARKANSAS,New Orleans Area of Responsibility,New Orleans
2025-03-26,MISSOURI,Chicago Area of Responsibility,Chicago
2025-03-26,GEORGIA,Atlanta Area of Responsibility,Atlanta
2025-03-26,NEVADA,Salt Lake City Area of Responsibility,Salt Lake City
2025-03-26,TEXAS,Dallas Area of Responsibility,Dallas
2025-03-26,,St. Paul Area of Responsibility,St. Paul
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,NEW JERSEY,Newark Area of Responsibility,Newark
2025-03-26,NEBRASKA,St. Paul Area of Responsibility,St. Paul
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,TENNESSEE,New Orleans Area of Responsibility,New Orleans
2025-03-26,MARYLAND,Baltimore Area of Responsibility,Baltimore
2025-03-26,INDIANA,Chicago Area of Responsibility,Chicago
2025-03-26,NEW YORK,New York City Area of Responsibility,New York City
2025-03-26,OHIO,Detroit Area of Responsibility,Detroit
2025-03-26,CONNECTICUT,Boston Area of Responsibility,Boston
2025-03-26,CALIFORNIA,San Francisco Area of Responsibility,San Francisco
2025-03-26,NORTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2025-03-26,OKLAHOMA,Dallas Area of Responsibility,Dallas
2025-03-26,TENNESSEE,New Orleans Area of Responsibility,New Orleans
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,ARKANSAS,New Orleans Area of Responsibility,New Orleans
2025-03-26,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2025-03-26,,Dallas Area of Responsibility,Dallas
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,CONNECTICUT,Boston Area of Responsibility,Boston
2025-03-26,TEXAS,Dallas Area of Responsibility,Dallas
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,,Newark Area of Responsibility,Newark
2025-03-26,PUERTO RICO,Miami Area of Responsibility,Miami
2025-03-26,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2025-03-26,INDIANA,Chicago Area of Responsibility,Chicago
2025-03-26,,Phoenix Area of Responsibility,Phoenix
2025-03-26,NORTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2025-03-26,KANSAS,Chicago Area of Responsibility,Chicago
2025-03-26,OKLAHOMA,Dallas Area of Responsibility,Dallas
2025-03-26,PENNSYLVANIA,Philadelphia Area of Responsibility,Philadelphia
2025-03-26,ILLINOIS,Chicago Area of Responsibility,Chicago
2025-03-26,,Phoenix Area of Responsibility,Phoenix
2025-03-26,OKLAHOMA,Dallas Area of Responsibility,Dallas
2025-03-26,,Dallas Area of Responsibility,Dallas
2025-03-26,GEORGIA,Atlanta Area of Responsibility,Atlanta
2025-03-26,VIRGINIA,Washington Area of Responsibility,Washington
2025-03-26,NEW YORK,New York City Area of Responsibility,New York City
2025-03-26,,Dallas Area of Responsibility,Dallas
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,NORTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,TEXAS,El Paso Area of Responsibility,El Paso
2025-03-26,OHIO,Detroit Area of Responsibility,Detroit
2025-03-26,SOUTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2025-03-26,KANSAS,Chicago Area of Responsibility,Chicago
2025-03-26,TENNESSEE,New Orleans Area of Responsibility,New Orleans
2025-03-26,RHODE ISLAND,Boston Area of Responsibility,Boston
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,GEORGIA,Atlanta Area of Responsibility,Atlanta
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,GEORGIA,Atlanta Area of Responsibility,Atlanta
2025-03-26,PENNSYLVANIA,Philadelphia Area of Responsibility,Philadelphia
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,MARYLAND,Baltimore Area of Responsibility,Baltimore
2025-03-26,ARKANSAS,New Orleans Area of Responsibility,New Orleans
2025-03-26,NEW JERSEY,Newark Area of Responsibility,Newark
2025-03-26,MARYLAND,Baltimore Area of Responsibility,Baltimore
2025-03-26,INDIANA,Chicago Area of Responsibility,Chicago
2025-03-26,COLORADO,Denver Area of Responsibility,Denver
2025-03-26,PUERTO RICO,Miami Area of Responsibility,Miami
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,,Salt Lake City Area of Responsibility,Salt Lake City
2025-03-26,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,MARYLAND,Baltimore Area of Responsibility,Baltimore
2025-03-26,PENNSYLVANIA,Philadelphia Area of Responsibility,Philadelphia
2025-03-26,,Chicago Area of Responsibility,Chicago
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,CALIFORNIA,San Diego Area of Responsibility,San Diego
2025-03-26,,Dallas Area of Responsibility,Dallas
2025-03-26,,Phoenix Area of Responsibility,Phoenix
2025-03-26,RHODE ISLAND,Boston Area of Responsibility,Boston
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,TENNESSEE,New Orleans Area of Responsibility,New Orleans
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2025-03-26,TEXAS,Dallas Area of Responsibility,Dallas
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,MASSACHUSETTS,Boston Area of Responsibility,Boston
2025-03-26,RHODE ISLAND,Boston Area of Responsibility,Boston
2025-03-26,NEW JERSEY,Newark Area of Responsibility,Newark
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,ILLINOIS,Chicago Area of Responsibility,Chicago
2025-03-26,NEVADA,Salt Lake City Area of Responsibility,Salt Lake City
2025-03-26,OKLAHOMA,Dallas Area of Responsibility,Dallas
2025-03-26,VIRGINIA,Washington Area of Responsibility,Washington
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,MASSACHUSETTS,Boston Area of Responsibility,Boston
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,ALABAMA,New Orleans Area of Responsibility,New Orleans
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,ARKANSAS,New Orleans Area of Responsibility,New Orleans
2025-03-26,TEXAS,Harlingen Area of Responsibility,Harlingen
2025-03-26,SOUTH DAKOTA,St. Paul Area of Responsibility,St. Paul
2025-03-26,TENNESSEE,New Orleans Area of Responsibility,New Orleans
2025-03-26,,Boston Area of Responsibility,Boston
2025-03-26,TEXAS,Dallas Area of Responsibility,Dallas
2025-03-26,TENNESSEE,New Orleans Area of Responsibility,New Orleans
2025-03-26,ILLINOIS,Chicago Area of Responsibility,Chicago
2025-03-26,KANSAS,Chicago Area of Responsibility,Chicago
2025-03-26,ARIZONA,Phoenix Area of Responsibility,Phoenix
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,NEBRASKA,St. Paul Area of Responsibility,St. Paul
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,,Philadelphia Area of Responsibility,Philadelphia
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2025-03-26,WYOMING,Denver Area of Responsibility,Denver
2025-03-26,ARKANSAS,New Orleans Area of Responsibility,New Orleans
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,MASSACHUSETTS,Boston Area of Responsibility,Boston
2025-03-26,SOUTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,,Houston Area of Responsibility,Houston
2025-03-26,TENNESSEE,New Orleans Area of Responsibility,New Orleans
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,,Chicago Area of Responsibility,Chicago
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,NEVADA,Salt Lake City Area of Responsibility,Salt Lake City
2025-03-26,TENNESSEE,New Orleans Area of Responsibility,New Orleans
2025-03-26,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2025-03-26,TEXAS,Dallas Area of Responsibility,Dallas
2025-03-26,GEORGIA,Atlanta Area of Responsibility,Atlanta
2025-03-26,TENNESSEE,New Orleans Area of Responsibility,New Orleans
2025-03-26,ILLINOIS,Chicago Area of Responsibility,Chicago
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2025-03-26,TEXAS,Harlingen Area of Responsibility,Harlingen
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,,Miami Area of Responsibility,Miami
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,KANSAS,Chicago Area of Responsibility,Chicago
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,TEXAS,Harlingen Area of Responsibility,Harlingen
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,,Miami Area of Responsibility,Miami
2025-03-26,,Miami Area of Responsibility,Miami
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,MARYLAND,Baltimore Area of Responsibility,Baltimore
2025-03-26,ILLINOIS,Chicago Area of Responsibility,Chicago
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,,Washington Area of Responsibility,Washington
2025-03-26,,Miami Area of Responsibility,Miami
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,,Washington Area of Responsibility,Washington
2025-03-26,,,#VALUE!
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,WYOMING,Denver Area of Responsibility,Denver
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,,Miami Area of Responsibility,Miami
2025-03-26,MINNESOTA,St. Paul Area of Responsibility,St. Paul
2025-03-26,MISSISSIPPI,New Orleans Area of Responsibility,New Orleans
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,,Phoenix Area of Responsibility,Phoenix
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,COLORADO,Denver Area of Responsibility,Denver
2025-03-26,ARIZONA,Phoenix Area of Responsibility,Phoenix
2025-03-26,COLORADO,Denver Area of Responsibility,Denver
2025-03-26,MINNESOTA,St. Paul Area of Responsibility,St. Paul
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,CALIFORNIA,San Francisco Area of Responsibility,San Francisco
2025-03-26,GEORGIA,Atlanta Area of Responsibility,Atlanta
2025-03-26,,Boston Area of Responsibility,Boston
2025-03-26,CALIFORNIA,San Francisco Area of Responsibility,San Francisco
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,GEORGIA,Atlanta Area of Responsibility,Atlanta
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,GEORGIA,Atlanta Area of Responsibility,Atlanta
2025-03-26,NEVADA,Salt Lake City Area of Responsibility,Salt Lake City
2025-03-26,NEVADA,Salt Lake City Area of Responsibility,Salt Lake City
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,,Washington Area of Responsibility,Washington
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,GEORGIA,Atlanta Area of Responsibility,Atlanta
2025-03-26,NEW JERSEY,Newark Area of Responsibility,Newark
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,COLORADO,Denver Area of Responsibility,Denver
2025-03-26,CALIFORNIA,San Diego Area of Responsibility,San Diego
2025-03-26,,Salt Lake City Area of Responsibility,Salt Lake City
2025-03-26,KENTUCKY,Chicago Area of Responsibility,Chicago
2025-03-26,NEW YORK,Buffalo Area of Responsibility,Buffalo
2025-03-26,NORTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2025-03-26,TEXAS,San Antonio Area of Responsibility,San Antonio
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,NORTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2025-03-26,MISSISSIPPI,New Orleans Area of Responsibility,New Orleans
2025-03-26,,Newark Area of Responsibility,Newark
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,NEW YORK,New York City Area of Responsibility,New York City
2025-03-26,FLORIDA,Miami Area of Responsibility,Miami
2025-03-26,,Newark Area of Responsibility,Newark
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,,Houston Area of Responsibility,Houston
2025-03-26,,Houston Area of Responsibility,Houston
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,,Newark Area of Responsibility,Newark
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,,Newark Area of Responsibility,Newark
2025-03-26,TEXAS,Houston Area of Responsibility,Houston
2025-03-26,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
